unit,sex,age,icd10,resid,time\geo	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 	RS 	TR 
NR,F,TOTAL,J40-J44_J47,TOT_RESID,2011	61295 	1608 	342 	962 	1785 	12070 	51 	712 	902 	3324 	3072 	564 	7921 	20 	61 	152 	68 	2079 	14 	2908 	1039 	2195 	890 	1745 	157 	329 	366 	1448 	14511 	947 	735 	872 	6838 
NR,F,TOTAL,J40-J47,TOT_IN,2011	65561 	1694 	362 	1019 	1826 	12755 	72 	750 	908 	4085 	3654 	602 	8194 	34 	82 	167 	72 	2173 	16 	2958 	1082 	2447 	966 	1871 	172 	349 	436 	1546 	15269 	1009 	797 	981 	7809 
NR,F,TOTAL,J40-J47,TOT_RESID,2011	65525 	1682 	362 	1017 	1827 	12766 	72 	748 	907 	4077 	3663 	601 	8174 	34 	82 	167 	73 	2165 	16 	2955 	1077 	2446 	965 	1875 	172 	352 	436 	1547 	15267 	1010 	797 	983 	7804 
NR,F,TOTAL,J45_J46,TOT_IN,2011	4234 	75 	20 	55 	41 	695 	21 	36 	5 	754 	591 	37 	255 	14 	21 	15 	5 	86 	2 	46 	41 	250 	75 	130 	15 	23 	70 	99 	757 	63 	62 	111 	970 
NR,F,TOTAL,J45_J46,TOT_RESID,2011	4230 	74 	20 	55 	42 	696 	21 	36 	5 	753 	591 	37 	253 	14 	21 	15 	5 	86 	2 	47 	38 	251 	75 	130 	15 	23 	70 	99 	756 	63 	62 	111 	966 
NR,F,TOTAL,J_OTH,TOT_IN,2011	47699 	1309 	634 	288 	234 	5170 	12 	418 	3622 	9531 	6938 	45 	5254 	80 	14 	23 	42 	322 	47 	894 	202 	973 	1966 	571 	100 	139 	141 	334 	8396 	182 	298 	630 	2305 
NR,F,TOTAL,J_OTH,TOT_RESID,2011	47667 	1293 	633 	286 	233 	5178 	12 	416 	3613 	9517 	6951 	45 	5236 	81 	13 	24 	43 	321 	46 	898 	201 	974 	1967 	573 	99 	140 	142 	334 	8398 	182 	297 	630 	2301 
NR,F,TOTAL,K,TOT_IN,2011	103001 	2393 	1061 	1979 	1195 	19974 	251 	541 	1176 	9218 	10517 	886 	11610 	107 	467 	897 	81 	2943 	55 	2849 	1355 	7020 	1906 	5815 	503 	1328 	1008 	1359 	14507 	724 	1294 	1550 	3669 
NR,F,TOTAL,K,TOT_RESID,2011	102926 	2372 	1063 	1971 	1194 	20000 	251 	543 	1167 	9180 	10516 	886 	11572 	104 	468 	898 	83 	2937 	54 	2857 	1349 	7018 	1902 	5823 	501 	1331 	1010 	1363 	14513 	728 	1283 	1551 	3660 
NR,F,TOTAL,K25-K28,TOT_IN,2011	7136 	144 	101 	234 	205 	1641 	27 	46 	203 	212 	435 	109 	345 	5 	57 	106 	1 	386 	3 	119 	93 	774 	92 	192 	44 	105 	68 	161 	1228 	90 	75 	290 	151 
NR,F,TOTAL,K25-K28,TOT_RESID,2011	7129 	144 	101 	235 	204 	1643 	27 	46 	201 	208 	435 	109 	344 	5 	58 	106 	1 	387 	3 	118 	93 	773 	93 	193 	43 	104 	68 	161 	1226 	92 	75 	290 	151 
NR,F,TOTAL,K70_K73_K74,TOT_IN,2011	24916 	432 	297 	603 	271 	4693 	84 	112 	207 	1307 	2140 	249 	2650 	16 	134 	314 	17 	1114 	10 	284 	392 	1848 	284 	3647 	170 	415 	335 	203 	2688 	56 	192 	171 	672 
NR,F,TOTAL,K70_K73_K74,TOT_RESID,2011	24890 	431 	298 	595 	271 	4699 	84 	113 	206 	1295 	2139 	246 	2633 	14 	134 	315 	17 	1109 	10 	286 	393 	1847 	282 	3651 	171 	419 	335 	205 	2692 	56 	193 	171 	670 
NR,F,TOTAL,K_OTH,TOT_IN,2011	70949 	1817 	663 	1142 	719 	13640 	140 	383 	766 	7699 	7942 	528 	8615 	86 	276 	477 	63 	1443 	42 	2446 	870 	4398 	1530 	1976 	289 	808 	605 	995 	10591 	578 	1027 	1089 	2846 
NR,F,TOTAL,K_OTH,TOT_RESID,2011	70907 	1797 	664 	1141 	719 	13658 	140 	384 	760 	7677 	7942 	531 	8595 	85 	276 	477 	65 	1441 	41 	2453 	863 	4398 	1527 	1979 	287 	808 	607 	997 	10595 	580 	1015 	1090 	2839 
NR,F,TOTAL,L,TOT_IN,2011	5473 	196 	12 	116 	42 	780 	6 	23 	43 	777 	721 	8 	661 	19 	25 	27 	5 	87 	24 	266 	38 	50 	36 	55 	30 	100 	17 	102 	1207 	55 	64 	37 	135 
NR,F,TOTAL,L,TOT_RESID,2011	5469 	195 	12 	116 	42 	781 	6 	23 	43 	776 	719 	8 	661 	19 	25 	27 	5 	87 	24 	265 	38 	50 	36 	55 	30 	100 	17 	102 	1207 	55 	64 	37 	134 
NR,F,TOTAL,M,TOT_IN,2011	15741 	318 	33 	82 	212 	2019 	25 	117 	333 	2341 	2380 	100 	2248 	22 	51 	63 	12 	301 	4 	573 	192 	407 	191 	34 	61 	48 	165 	302 	3107 	174 	401 	123 	828 
NR,F,TOTAL,M,TOT_RESID,2011	15743 	316 	33 	82 	212 	2029 	25 	119 	333 	2337 	2380 	99 	2246 	22 	51 	63 	13 	301 	4 	573 	191 	407 	189 	35 	61 	48 	165 	302 	3107 	175 	388 	123 	828 
NR,F,TOTAL,M_OTH,TOT_IN,2011	11780 	254 	20 	48 	135 	1521 	14 	76 	320 	2056 	1940 	54 	1540 	15 	26 	27 	9 	215 	3 	389 	157 	174 	142 	34 	34 	34 	85 	183 	2275 	132 	250 	102 	617 
NR,F,TOTAL,M_OTH,TOT_RESID,2011	11785 	253 	20 	48 	135 	1530 	14 	78 	320 	2055 	1939 	53 	1540 	15 	26 	27 	10 	215 	3 	389 	157 	174 	140 	34 	34 	34 	85 	183 	2274 	133 	237 	102 	616 
NR,F,TOTAL,N,TOT_IN,2011	49163 	1495 	482 	661 	405 	11262 	54 	400 	873 	5973 	4272 	477 	5832 	88 	169 	149 	32 	490 	44 	2078 	771 	2667 	1540 	1219 	212 	390 	254 	478 	6396 	457 	471 	1014 	4834 
NR,F,TOTAL,N,TOT_RESID,2011	49146 	1482 	482 	659 	406 	11265 	54 	400 	875 	5966 	4276 	476 	5828 	88 	170 	149 	32 	490 	43 	2079 	772 	2665 	1541 	1219 	212 	390 	254 	478 	6395 	458 	469 	1014 	4829 
NR,F,TOTAL,N00-N29,TOT_IN,2011	35507 	985 	478 	534 	222 	8881 	48 	255 	777 	3747 	3391 	335 	5002 	67 	160 	132 	27 	391 	34 	1050 	646 	2556 	861 	1204 	151 	294 	201 	317 	2761 	253 	310 	995 	4509 
NR,F,TOTAL,N00-N29,TOT_RESID,2011	35493 	976 	478 	532 	223 	8884 	48 	255 	779 	3743 	3391 	334 	4998 	67 	161 	132 	27 	391 	33 	1051 	647 	2554 	863 	1204 	151 	294 	201 	317 	2759 	253 	309 	995 	4504 
NR,F,TOTAL,N_OTH,TOT_IN,2011	13656 	510 	4 	127 	183 	2381 	6 	145 	96 	2226 	881 	142 	830 	21 	9 	17 	5 	99 	10 	1028 	125 	111 	679 	15 	61 	96 	53 	161 	3635 	204 	161 	19 	325 
NR,F,TOTAL,N_OTH,TOT_RESID,2011	13653 	506 	4 	127 	183 	2381 	6 	145 	96 	2223 	885 	142 	830 	21 	9 	17 	5 	99 	10 	1028 	125 	111 	678 	15 	61 	96 	53 	161 	3636 	205 	160 	19 	325 
NR,F,TOTAL,O,TOT_IN,2011	287 	10 	2 	2 	3 	32 	2 	2 	7 	14 	52 	4 	14 	: 	: 	2 	: 	9 	1 	3 	2 	9 	5 	50 	1 	7 	: 	1 	53 	3 	3 	7 	58 
NR,F,TOTAL,O,TOT_RESID,2011	282 	9 	2 	2 	2 	32 	1 	2 	7 	14 	51 	4 	13 	: 	1 	2 	: 	9 	: 	3 	2 	9 	5 	50 	1 	7 	: 	1 	53 	3 	3 	7 	59 
NR,F,TOTAL,P,TOT_IN,2011	4540 	101 	112 	72 	58 	546 	6 	40 	56 	372 	634 	57 	445 	5 	31 	28 	4 	114 	8 	147 	57 	392 	81 	277 	11 	47 	28 	42 	769 	24 	75 	126 	2189 
NR,F,TOTAL,P,TOT_RESID,2011	4515 	98 	112 	70 	59 	547 	6 	42 	55 	365 	634 	55 	422 	5 	31 	28 	3 	110 	8 	147 	57 	395 	80 	287 	11 	47 	28 	42 	771 	24 	72 	126 	2190 
NR,F,TOTAL,Q,TOT_IN,2011	5645 	118 	65 	72 	64 	762 	17 	88 	108 	439 	705 	57 	664 	11 	32 	32 	2 	152 	10 	216 	110 	445 	74 	239 	20 	67 	88 	109 	879 	46 	130 	59 	2059 
NR,F,TOTAL,Q,TOT_RESID,2011	5607 	108 	65 	71 	63 	764 	17 	89 	108 	434 	696 	57 	655 	11 	32 	32 	4 	152 	10 	218 	107 	443 	75 	241 	19 	70 	86 	109 	871 	46 	126 	59 	2036 
NR,F,TOTAL,R,TOT_IN,2011	90983 	2561 	1596 	340 	2025 	10307 	163 	60 	6874 	5265 	24228 	342 	6254 	120 	985 	73 	67 	83 	9 	2147 	635 	10932 	4884 	802 	39 	274 	86 	1835 	7997 	1089 	1052 	2228 	5370 
NR,F,TOTAL,R,TOT_RESID,2011	90823 	2560 	1600 	337 	2003 	10266 	159 	61 	6869 	5231 	24177 	341 	6228 	120 	980 	76 	70 	81 	7 	2156 	638 	10930 	4862 	811 	39 	276 	85 	1836 	8024 	1095 	1044 	2232 	5300 
NR,F,TOTAL,R95,TOT_IN,2011	339 	11 	: 	7 	: 	53 	: 	9 	1 	20 	77 	2 	10 	: 	6 	1 	: 	9 	: 	6 	7 	29 	: 	5 	: 	7 	2 	8 	69 	6 	7 	2 	60 
NR,F,TOTAL,R95,TOT_RESID,2011	338 	9 	: 	7 	: 	53 	: 	9 	1 	19 	78 	2 	11 	: 	6 	1 	: 	9 	: 	6 	7 	29 	: 	5 	: 	7 	2 	8 	69 	6 	6 	2 	60 
NR,F,TOTAL,R96-R99,TOT_IN,2011	30967 	602 	474 	237 	1264 	6957 	48 	17 	20 	2539 	9753 	72 	686 	21 	170 	66 	10 	28 	: 	507 	29 	3416 	2018 	797 	3 	55 	77 	671 	430 	699 	702 	1586 	2244 
NR,F,TOTAL,R96-R99,TOT_RESID,2011	30850 	606 	480 	235 	1242 	6896 	44 	18 	25 	2521 	9718 	72 	670 	22 	170 	67 	14 	27 	: 	516 	32 	3421 	1997 	804 	3 	56 	76 	672 	446 	704 	695 	1590 	2177 
NR,F,TOTAL,RHEUM_ARTHRO,TOT_IN,2011	3961 	64 	13 	34 	77 	498 	11 	41 	13 	285 	440 	46 	708 	7 	25 	36 	3 	86 	1 	184 	35 	233 	49 	: 	27 	14 	80 	119 	832 	42 	151 	21 	211 
NR,F,TOTAL,RHEUM_ARTHRO,TOT_RESID,2011	3958 	63 	13 	34 	77 	499 	11 	41 	13 	282 	441 	46 	706 	7 	25 	36 	3 	86 	1 	184 	34 	233 	49 	1 	27 	14 	80 	119 	833 	42 	151 	21 	212 
NR,F,TOTAL,R_OTH,TOT_IN,2011	59677 	1948 	1122 	96 	761 	3297 	115 	34 	6853 	2706 	14398 	268 	5558 	99 	809 	6 	57 	46 	9 	1634 	599 	7487 	2866 	: 	36 	212 	7 	1156 	7498 	384 	343 	640 	3066 
NR,F,TOTAL,R_OTH,TOT_RESID,2011	59635 	1945 	1120 	95 	761 	3317 	115 	34 	6843 	2691 	14381 	267 	5547 	98 	804 	8 	56 	45 	7 	1634 	599 	7480 	2865 	2 	36 	213 	7 	1156 	7509 	385 	343 	640 	3063 
NR,F,TOTAL,TOXICO,TOT_IN,2011	339 	7 	6 	1 	9 	143 	: 	: 	3 	8 	28 	: 	30 	: 	: 	: 	: 	1 	: 	7 	56 	0 	1 	: 	: 	: 	4 	4 	31 	5 	12 	5 	3 
NR,F,TOTAL,TOXICO,TOT_RESID,2011	339 	7 	6 	1 	9 	143 	: 	: 	3 	8 	28 	: 	30 	: 	: 	: 	: 	1 	: 	7 	56 	0 	1 	: 	: 	: 	4 	4 	31 	5 	12 	5 	3 
NR,F,TOTAL,V01-Y89,TOT_IN,2011	80996 	2797 	663 	1848 	849 	12779 	249 	482 	805 	5070 	15002 	1090 	9742 	83 	439 	885 	112 	2304 	25 	2650 	1594 	5462 	1309 	2419 	585 	1441 	1181 	1747 	7384 	1074 	1532 	891 	3751 
NR,F,TOTAL,V01-Y89,TOT_RESID,2011	80784 	2765 	661 	1842 	847 	12871 	248 	470 	770 	4997 	15017 	1067 	9633 	72 	438 	888 	110 	2284 	24 	2631 	1558 	5466 	1300 	2466 	579 	1448 	1181 	1751 	7400 	1077 	1513 	898 	3711 
NR,F,TOTAL,V01-Y89_OTH,TOT_IN,2011	2749 	114 	10 	29 	19 	663 	12 	21 	9 	196 	565 	19 	236 	7 	10 	7 	13 	6 	2 	22 	105 	173 	83 	19 	91 	4 	2 	59 	253 	1 	26 	8 	12 
NR,F,TOTAL,V01-Y89_OTH,TOT_RESID,2011	2742 	113 	10 	29 	19 	664 	12 	21 	9 	195 	564 	19 	237 	7 	10 	7 	14 	7 	1 	20 	101 	173 	84 	19 	89 	4 	2 	59 	253 	1 	25 	9 	12 
NR,F,TOTAL,V_Y85,TOT_IN,2011	8154 	231 	147 	229 	59 	1137 	31 	55 	279 	516 	945 	114 	1016 	14 	39 	91 	10 	242 	5 	206 	160 	1042 	233 	598 	33 	103 	84 	77 	458 	64 	82 	166 	1034 
NR,F,TOTAL,V_Y85,TOT_RESID,2011	8076 	226 	146 	230 	59 	1153 	30 	52 	269 	499 	946 	109 	981 	13 	39 	94 	10 	225 	5 	202 	145 	1041 	228 	622 	29 	106 	80 	77 	460 	64 	86 	171 	1007 
NR,F,TOTAL,W00-W19,TOT_IN,2011	22127 	723 	70 	329 	292 	5280 	29 	119 	139 	1036 	3269 	586 	1772 	11 	68 	105 	21 	949 	13 	952 	410 	1803 	131 	268 	298 	130 	535 	435 	2354 	202 	891 	91 	1317 
NR,F,TOTAL,W00-W19,TOT_RESID,2011	22125 	716 	71 	331 	291 	5301 	29 	116 	138 	1028 	3276 	581 	1761 	9 	67 	105 	21 	947 	13 	955 	401 	1807 	130 	269 	299 	128 	537 	435 	2363 	202 	881 	91 	1315 
NR,F,TOTAL,W65-W74,TOT_IN,2011	1418 	16 	22 	47 	7 	102 	16 	10 	110 	96 	288 	28 	73 	8 	22 	44 	: 	44 	1 	15 	21 	172 	13 	149 	5 	38 	20 	16 	35 	10 	17 	26 	31 
NR,F,TOTAL,W65-W74,TOT_RESID,2011	1384 	16 	21 	49 	7 	130 	16 	8 	90 	78 	284 	18 	64 	2 	22 	44 	: 	47 	1 	12 	23 	172 	11 	150 	6 	38 	20 	17 	38 	12 	21 	27 	31 
NR,F,TOTAL,X40-X49,TOT_IN,2011	3553 	74 	29 	82 	58 	167 	51 	64 	38 	221 	931 	33 	115 	3 	22 	101 	8 	29 	: 	39 	9 	225 	10 	277 	19 	29 	166 	88 	665 	65 	33 	11 	103 
NR,F,TOTAL,X40-X49,TOT_RESID,2011	3544 	74 	29 	81 	58 	168 	51 	64 	38 	216 	928 	33 	109 	3 	22 	101 	8 	30 	: 	40 	9 	226 	10 	279 	19 	29 	166 	88 	665 	65 	35 	11 	102 
NR,F,TOTAL,X60-X84_Y870,TOT_IN,2011	12998 	608 	157 	256 	157 	2504 	40 	96 	84 	745 	2650 	184 	863 	5 	75 	198 	21 	575 	: 	524 	316 	761 	224 	395 	89 	65 	201 	323 	882 	164 	287 	347 	298 
NR,F,TOTAL,X60-X84_Y870,TOT_RESID,2011	12975 	603 	157 	253 	156 	2510 	40 	95 	84 	738 	2653 	182 	853 	5 	75 	198 	19 	573 	: 	514 	314 	762 	225 	402 	89 	66 	201 	323 	885 	164 	279 	347 	292 
NR,F,TOTAL,X85-Y09_Y871,TOT_IN,2011	1488 	64 	28 	34 	12 	201 	14 	1 	34 	105 	155 	19 	123 	6 	36 	47 	: 	75 	2 	57 	21 	129 	34 	149 	11 	32 	33 	20 	46 	52 	24 	39 	165 
NR,F,TOTAL,X85-Y09_Y871,TOT_RESID,2011	1469 	63 	28 	33 	12 	200 	14 	1 	32 	102 	155 	19 	109 	6 	36 	47 	: 	75 	2 	52 	20 	129 	34 	155 	11 	33 	34 	21 	46 	52 	23 	39 	164 
NR,F,TOTAL,Y10-Y34_Y872,TOT_IN,2011	3995 	107 	58 	101 	23 	783 	8 	27 	2 	23 	101 	2 	6 	1 	34 	99 	7 	58 	2 	15 	73 	423 	436 	59 	9 	944 	25 	101 	468 	1 	18 	87 	: 
NR,F,TOTAL,Y10-Y34_Y872,TOT_RESID,2011	3987 	104 	58 	99 	22 	789 	8 	26 	2 	23 	105 	1 	6 	1 	34 	99 	6 	57 	2 	11 	71 	422 	433 	59 	9 	947 	25 	102 	466 	1 	18 	87 	: 
NR,F,Y1-4,A-R_V-Y,TOT_IN,2011	1741 	39 	49 	27 	16 	210 	: c	13 	30 	146 	248 	12 	140 	: c	12 	13 	: c	57 	: c	37 	21 	145 	27 	178 	: c	28 	14 	23 	231 	17 	20 	22 	1043 
NR,F,Y1-4,A-R_V-Y,TOT_RESID,2011	1714 	37 	50 	26 	16 	208 	: c	14 	29 	141 	241 	13 	132 	: c	11 	13 	: c	56 	: c	37 	19 	145 	26 	181 	: c	29 	14 	23 	229 	18 	19 	22 	1028 
NR,F,Y1-4,A15-A19_B90,TOT_IN,2011	2 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	2 	: c	0 	0 	0 	0 	0 	0 	0 	1 
NR,F,Y1-4,A15-A19_B90,TOT_RESID,2011	2 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	2 	: c	0 	0 	0 	0 	0 	0 	0 	1 
NR,F,Y1-4,ACC,TOT_IN,2011	304 	10 	4 	7 	2 	35 	: c	2 	9 	18 	69 	2 	14 	: c	6 	4 	: c	11 	: c	2 	2 	28 	4 	48 	: c	6 	0 	1 	15 	3 	2 	0 	166 
NR,F,Y1-4,ACC,TOT_RESID,2011	297 	11 	4 	7 	2 	35 	: c	2 	8 	15 	67 	2 	14 	: c	5 	4 	: c	11 	: c	2 	1 	28 	4 	49 	: c	6 	0 	1 	15 	3 	3 	0 	166 
NR,F,Y1-4,ACC_OTH,TOT_IN,2011	118 	5 	3 	3 	0 	16 	: c	1 	3 	5 	22 	1 	3 	: c	2 	1 	: c	4 	: 	1 	0 	8 	2 	21 	: c	5 	0 	0 	11 	2 	1 	0 	60 
NR,F,Y1-4,ACC_OTH,TOT_RESID,2011	117 	5 	3 	3 	0 	16 	: c	1 	3 	5 	22 	1 	3 	: c	1 	1 	: c	4 	: 	1 	0 	8 	2 	21 	: c	5 	0 	0 	11 	2 	1 	0 	60 
NR,F,Y1-4,A_B,TOT_IN,2011	118 	1 	2 	0 	3 	10 	: c	1 	0 	11 	17 	1 	6 	: c	0 	2 	: c	2 	: c	2 	1 	15 	1 	15 	: c	3 	0 	0 	24 	0 	3 	1 	48 
NR,F,Y1-4,A_B,TOT_RESID,2011	118 	1 	2 	0 	3 	10 	: c	1 	0 	11 	17 	1 	6 	: c	0 	2 	: c	2 	: c	2 	1 	15 	1 	15 	: c	3 	0 	0 	24 	0 	3 	1 	48 
NR,F,Y1-4,A_B_OTH,TOT_IN,2011	114 	1 	2 	0 	3 	10 	: c	1 	0 	11 	17 	1 	6 	: c	0 	2 	: c	2 	: c	2 	1 	15 	1 	12 	: c	3 	0 	0 	23 	0 	3 	1 	46 
NR,F,Y1-4,A_B_OTH,TOT_RESID,2011	114 	1 	2 	0 	3 	10 	: c	1 	0 	11 	17 	1 	6 	: c	0 	2 	: c	2 	: c	2 	1 	15 	1 	12 	: c	3 	0 	0 	23 	0 	3 	1 	46 
NR,F,Y1-4,B15-B19_B942,TOT_IN,2011	2 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: 	0 	: 	0 	0 	0 	0 	1 	: 	: 	0 	0 	1 	0 	0 	0 	0 
NR,F,Y1-4,B15-B19_B942,TOT_RESID,2011	2 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: 	0 	0 	: 	0 	: 	0 	0 	0 	0 	1 	: 	: 	0 	0 	1 	0 	0 	0 	0 
NR,F,Y1-4,B20-B24,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	: 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	1 
NR,F,Y1-4,B20-B24,TOT_RESID,2011	0 	0 	0 	0 	0 	0 	: c	0 	: 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	1 
NR,F,Y1-4,C,TOT_IN,2011	257 	7 	4 	6 	3 	35 	: c	1 	8 	16 	25 	3 	32 	: c	1 	2 	: c	8 	: c	13 	3 	18 	8 	15 	: c	5 	1 	7 	34 	3 	5 	4 	84 
NR,F,Y1-4,C,TOT_RESID,2011	254 	5 	4 	5 	3 	35 	: c	2 	8 	16 	25 	3 	31 	: c	1 	2 	: c	8 	: c	13 	3 	18 	8 	15 	: c	6 	1 	7 	33 	3 	5 	4 	84 
NR,F,Y1-4,C00-C14,TOT_IN,2011	3 	0 	1 	0 	0 	0 	: c	0 	0 	0 	1 	0 	0 	: c	0 	0 	: c	0 	: 	0 	0 	0 	1 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C00-C14,TOT_RESID,2011	3 	0 	1 	0 	0 	0 	: c	0 	0 	0 	1 	0 	0 	: c	0 	0 	: c	0 	: 	0 	0 	0 	1 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C00-D48,TOT_IN,2011	291 	8 	4 	6 	3 	38 	: c	1 	8 	24 	34 	3 	37 	: c	1 	2 	: c	8 	: c	13 	3 	19 	8 	16 	: c	5 	1 	7 	40 	4 	5 	4 	89 
NR,F,Y1-4,C00-D48,TOT_RESID,2011	287 	6 	4 	5 	3 	38 	: c	2 	8 	24 	33 	3 	36 	: c	1 	2 	: c	8 	: c	13 	3 	19 	8 	16 	: c	6 	1 	7 	39 	4 	5 	4 	89 
NR,F,Y1-4,C15,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C15,TOT_RESID,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C16,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C16,TOT_RESID,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C18-C21,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C18-C21,TOT_RESID,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C22,TOT_IN,2011	9 	0 	0 	2 	0 	0 	: c	0 	1 	0 	0 	1 	1 	: c	0 	0 	: c	0 	: c	1 	0 	0 	0 	1 	: c	0 	0 	1 	1 	0 	0 	0 	0 
NR,F,Y1-4,C22,TOT_RESID,2011	9 	0 	0 	1 	0 	0 	: c	0 	1 	0 	0 	1 	1 	: c	0 	0 	: c	0 	: c	1 	0 	0 	0 	1 	: c	1 	0 	1 	1 	0 	0 	0 	0 
NR,F,Y1-4,C25,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C25,TOT_RESID,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C32,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C32,TOT_RESID,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C33_C34,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C33_C34,TOT_RESID,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C43,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C43,TOT_RESID,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C50,TOT_IN,2011	1 	0 	1 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C50,TOT_RESID,2011	1 	0 	1 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C53,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C53,TOT_RESID,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
NR,F,Y1-4,C54_C55,TOT_IN,2011	0 	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	: c	0 	0 	: c	0 	: c	0 	0 	0 	0 	0 	: c	0 	0 	0 	0 	0 	0 	0 	0 
